,order,method,metric,value,dataName
0,5,between,vi,3.5804949592624102,Copperfield
1,5,between,nmi,0.10609251226536295,Copperfield
2,5,between,split-join,85.0,Copperfield
3,5,between,rand,0.13481338481338462,Copperfield
4,5,between,adjusted_rand,0.008889844728788943,Copperfield
5,6,between,vi,3.5164952678559436,Copperfield
6,6,between,nmi,0.1411026476950482,Copperfield
7,6,between,split-join,85.0,Copperfield
8,6,between,rand,0.1682754182754182,Copperfield
9,6,between,adjusted_rand,0.012688220524675461,Copperfield
10,7,between,vi,3.428080476625875,Copperfield
11,7,between,nmi,0.1803972357619741,Copperfield
12,7,between,split-join,84.0,Copperfield
13,7,between,rand,0.20141570141570136,Copperfield
14,7,between,adjusted_rand,0.017080115862401067,Copperfield
15,5,fastgreedy,vi,1.9022269125186775,Copperfield
16,5,fastgreedy,nmi,0.08517967308728366,Copperfield
17,5,fastgreedy,split-join,88.0,Copperfield
18,5,fastgreedy,rand,0.2247425997425997,Copperfield
19,5,fastgreedy,adjusted_rand,0.005922471062643932,Copperfield
20,6,fastgreedy,vi,1.8882556632367982,Copperfield
21,6,fastgreedy,nmi,0.12907344628339726,Copperfield
22,6,fastgreedy,split-join,88.0,Copperfield
23,6,fastgreedy,rand,0.2553088803088803,Copperfield
24,6,fastgreedy,adjusted_rand,0.016211155303294547,Copperfield
25,7,fastgreedy,vi,1.9227705790307996,Copperfield
26,7,fastgreedy,nmi,0.14790242895733502,Copperfield
27,7,fastgreedy,split-join,88.0,Copperfield
28,7,fastgreedy,rand,0.2742921492921493,Copperfield
29,7,fastgreedy,adjusted_rand,0.011950029302829429,Copperfield
30,5,infomap,vi,0.10613823231533251,Copperfield
31,5,infomap,nmi,0.6992468984235932,Copperfield
32,5,infomap,split-join,3.0,Copperfield
33,5,infomap,rand,0.9652509652509654,Copperfield
34,5,infomap,adjusted_rand,0.7342747523253464,Copperfield
35,6,infomap,vi,0.1948931801703693,Copperfield
36,6,infomap,nmi,0.5587288952794897,Copperfield
37,6,infomap,split-join,5.0,Copperfield
38,6,infomap,rand,0.9314671814671814,Copperfield
39,6,infomap,adjusted_rand,0.574329935387918,Copperfield
40,7,infomap,vi,0.28330797140043695,Copperfield
41,7,infomap,nmi,0.4655352419628803,Copperfield
42,7,infomap,split-join,7.0,Copperfield
43,7,infomap,rand,0.8983268983268983,Copperfield
44,7,infomap,adjusted_rand,0.46671227800108284,Copperfield
45,5,labelprop,vi,0.22952321049452537,Copperfield
46,5,labelprop,nmi,0.0,Copperfield
47,5,labelprop,split-join,5.0,Copperfield
48,5,labelprop,rand,0.9126447876447878,Copperfield
49,5,labelprop,adjusted_rand,1.2709293408968657e-15,Copperfield
50,6,labelprop,vi,0.31827815834956213,Copperfield
51,6,labelprop,nmi,0.0,Copperfield
52,6,labelprop,split-join,7.0,Copperfield
53,6,labelprop,rand,0.8788610038610039,Copperfield
54,6,labelprop,adjusted_rand,0.0,Copperfield
55,7,labelprop,vi,0.40669294957962987,Copperfield
56,7,labelprop,nmi,0.0,Copperfield
57,7,labelprop,split-join,9.0,Copperfield
58,7,labelprop,rand,0.8457207207207207,Copperfield
59,7,labelprop,adjusted_rand,0.0,Copperfield
60,5,eigen,vi,2.0610435308656774,Copperfield
61,5,eigen,nmi,0.08223497844487072,Copperfield
62,5,eigen,split-join,89.0,Copperfield
